R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
4.90000000,4.903e-4,-129.947
4.95000000,4.861e-4,-128.541
5.00000000,4.819e-4,-127.162
5.05000000,4.778e-4,-125.810
5.10000000,4.737e-4,-124.483
5.15000000,4.697e-4,-123.181
5.20000000,4.657e-4,-121.903
5.25000000,4.618e-4,-120.648
5.30000000,4.579e-4,-119.417
5.35000000,4.540e-4,-118.207
5.40000000,4.501e-4,-117.019
5.45000000,4.463e-4,-115.852
5.50000000,4.425e-4,-114.705
5.55000000,4.387e-4,-113.578
5.60000000,4.349e-4,-112.470
5.65000000,4.312e-4,-111.381
5.70000000,4.275e-4,-110.310
5.75000000,4.239e-4,-109.257
5.80000000,4.203e-4,-108.221
5.85000000,4.167e-4,-107.202
5.90000000,4.131e-4,-106.200
5.95000000,4.096e-4,-105.213
6.00000000,4.061e-4,-104.243
6.05000000,4.027e-4,-103.287
6.10000000,3.993e-4,-102.346
6.15000000,3.960e-4,-101.420
6.20000000,3.926e-4,-100.508
6.25000000,3.894e-4,-99.6099
6.30000000,3.862e-4,-98.7252
6.35000000,3.830e-4,-97.8536
6.40000000,3.799e-4,-96.9949
6.45000000,3.768e-4,-96.1488
6.50000000,3.738e-4,-95.3148
6.55000000,3.708e-4,-94.4929
6.60000000,3.679e-4,-93.6827
6.65000000,3.650e-4,-92.8839
6.70000000,3.622e-4,-92.0963
6.75000000,3.595e-4,-91.3197
6.80000000,3.567e-4,-90.5537
6.85000000,3.541e-4,-89.7982
6.90000000,3.514e-4,-89.0529
6.95000000,3.489e-4,-88.3176
7.00000000,3.463e-4,-87.5922
7.05000000,3.438e-4,-86.8763
7.10000000,3.413e-4,-86.1698
7.15000000,3.388e-4,-85.4725
7.20000000,3.364e-4,-84.7841
7.25000000,3.340e-4,-84.1046
7.30000000,3.317e-4,-83.4337
7.35000000,3.294e-4,-82.7713
7.40000000,3.271e-4,-82.1171
7.45000000,3.249e-4,-81.4710
7.50000000,3.227e-4,-80.8329
7.55000000,3.205e-4,-80.2026
7.60000000,3.184e-4,-79.5799
7.65000000,3.163e-4,-78.9647
7.70000000,3.142e-4,-78.3568
7.75000000,3.122e-4,-77.7561
7.80000000,3.102e-4,-77.1625
7.85000000,3.083e-4,-76.5757
7.90000000,3.064e-4,-75.9958
7.95000000,3.046e-4,-75.4225
8.00000000,3.028e-4,-74.8558
8.05000000,3.010e-4,-74.2955
8.10000000,2.994e-4,-73.7414
8.15000000,2.977e-4,-73.1935
8.20000000,2.962e-4,-72.6517
8.25000000,2.947e-4,-72.1159
8.30000000,2.932e-4,-71.5859
8.35000000,2.918e-4,-71.0616
8.40000000,2.903e-4,-70.5429
8.45000000,2.890e-4,-70.0298
8.50000000,2.876e-4,-69.5221
8.55000000,2.863e-4,-69.0198
8.60000000,2.850e-4,-68.5227
8.65000000,2.837e-4,-68.0307
8.70000000,2.824e-4,-67.5438
8.75000000,2.811e-4,-67.0619
8.80000000,2.799e-4,-66.5849
8.85000000,2.786e-4,-66.1126
8.90000000,2.774e-4,-65.6451
8.95000000,2.762e-4,-65.1823
9.00000000,2.749e-4,-64.7240
9.05000000,2.737e-4,-64.2702
9.10000000,2.724e-4,-63.8208
9.15000000,2.711e-4,-63.3757
9.20000000,2.699e-4,-62.9350
9.25000000,2.685e-4,-62.4984
9.30000000,2.672e-4,-62.0659
9.35000000,2.659e-4,-61.6376
9.40000000,2.645e-4,-61.2132
9.45000000,2.630e-4,-60.7927
9.50000000,2.616e-4,-60.3762
9.55000000,2.600e-4,-59.9634
9.60000000,2.585e-4,-59.5544
9.65000000,2.568e-4,-59.1490
9.70000000,2.552e-4,-58.7473
9.75000000,2.534e-4,-58.3492
9.80000000,2.516e-4,-57.9546
9.85000000,2.497e-4,-57.5635
9.90000000,2.478e-4,-57.1758
9.95000000,2.457e-4,-56.7914
10.0000000,2.436e-4,-56.4104
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 100.0
2.00000000,0.001020,-275.626
2.05000000,0.001001,-268.807
2.10000000,9.807e-4,-262.311
2.15000000,9.600e-4,-256.114
2.20000000,9.392e-4,-250.197
2.25000000,9.185e-4,-244.541
2.30000000,8.983e-4,-239.128
2.35000000,8.785e-4,-233.944
2.40000000,8.593e-4,-228.974
2.45000000,8.408e-4,-224.204
2.50000000,8.229e-4,-219.624
2.55000000,8.058e-4,-215.221
2.60000000,7.893e-4,-210.985
2.65000000,7.735e-4,-206.908
2.70000000,7.584e-4,-202.980
2.75000000,7.439e-4,-199.193
2.80000000,7.300e-4,-195.539
2.85000000,7.166e-4,-192.012
2.90000000,7.038e-4,-188.604
2.95000000,6.916e-4,-185.311
3.00000000,6.798e-4,-182.125
3.05000000,6.684e-4,-179.043
3.10000000,6.575e-4,-176.058
3.15000000,6.470e-4,-173.167
3.20000000,6.368e-4,-170.364
3.25000000,6.270e-4,-167.646
3.30000000,6.175e-4,-165.009
3.35000000,6.084e-4,-162.449
3.40000000,5.995e-4,-159.963
3.45000000,5.909e-4,-157.548
3.50000000,5.825e-4,-155.200
3.55000000,5.744e-4,-152.917
3.60000000,5.665e-4,-150.696
3.65000000,5.588e-4,-148.534
3.70000000,5.514e-4,-146.430
3.75000000,5.441e-4,-144.380
3.80000000,5.370e-4,-142.383
3.85000000,5.301e-4,-140.436
3.90000000,5.234e-4,-138.539
3.95000000,5.169e-4,-136.688
4.00000000,5.105e-4,-134.882
4.05000000,5.042e-4,-133.119
4.10000000,4.981e-4,-131.398
4.15000000,4.921e-4,-129.717
4.20000000,4.863e-4,-128.075
4.25000000,4.806e-4,-126.471
4.30000000,4.750e-4,-124.903
4.35000000,4.696e-4,-123.370
4.40000000,4.643e-4,-121.870
4.45000000,4.591e-4,-120.403
4.50000000,4.540e-4,-118.967
4.55000000,4.490e-4,-117.562
4.60000000,4.441e-4,-116.186
4.65000000,4.394e-4,-114.839
4.70000000,4.347e-4,-113.520
4.75000000,4.301e-4,-112.227
4.80000000,4.256e-4,-110.960
4.85000000,4.212e-4,-109.718
4.90000000,4.170e-4,-108.500
4.95000000,4.127e-4,-107.306
5.00000000,4.086e-4,-106.135
5.05000000,4.046e-4,-104.986
5.10000000,4.006e-4,-103.859
5.15000000,3.967e-4,-102.752
5.20000000,3.929e-4,-101.666
5.25000000,3.892e-4,-100.599
5.30000000,3.855e-4,-99.5519
5.35000000,3.820e-4,-98.5232
5.40000000,3.784e-4,-97.5126
5.45000000,3.750e-4,-96.5195
5.50000000,3.716e-4,-95.5436
5.55000000,3.683e-4,-94.5843
5.60000000,3.650e-4,-93.6413
5.65000000,3.618e-4,-92.7140
5.70000000,3.586e-4,-91.8021
5.75000000,3.555e-4,-90.9052
5.80000000,3.525e-4,-90.0228
5.85000000,3.495e-4,-89.1547
5.90000000,3.466e-4,-88.3003
5.95000000,3.437e-4,-87.4595
6.00000000,3.409e-4,-86.6318
6.05000000,3.381e-4,-85.8169
6.10000000,3.353e-4,-85.0146
6.15000000,3.326e-4,-84.2244
6.20000000,3.300e-4,-83.4462
6.25000000,3.274e-4,-82.6796
6.30000000,3.248e-4,-81.9243
6.35000000,3.223e-4,-81.1800
6.40000000,3.198e-4,-80.4466
6.45000000,3.173e-4,-79.7238
6.50000000,3.149e-4,-79.0113
6.55000000,3.125e-4,-78.3088
6.60000000,3.102e-4,-77.6162
6.65000000,3.079e-4,-76.9332
6.70000000,3.056e-4,-76.2596
6.75000000,3.034e-4,-75.5953
6.80000000,3.012e-4,-74.9399
6.85000000,2.990e-4,-74.2933
6.90000000,2.969e-4,-73.6553
6.95000000,2.948e-4,-73.0257
7.00000000,2.927e-4,-72.4044
7.05000000,2.906e-4,-71.7911
7.10000000,2.886e-4,-71.1857
7.15000000,2.866e-4,-70.5881
7.20000000,2.846e-4,-69.9980
7.25000000,2.827e-4,-69.4153
7.30000000,2.808e-4,-68.8398
7.35000000,2.789e-4,-68.2715
7.40000000,2.770e-4,-67.7101
7.45000000,2.752e-4,-67.1555
7.50000000,2.734e-4,-66.6076
7.55000000,2.716e-4,-66.0662
7.60000000,2.698e-4,-65.5313
7.65000000,2.681e-4,-65.0026
7.70000000,2.664e-4,-64.4801
7.75000000,2.647e-4,-63.9637
7.80000000,2.630e-4,-63.4532
7.85000000,2.613e-4,-62.9485
7.90000000,2.597e-4,-62.4494
7.95000000,2.581e-4,-61.9560
8.00000000,2.565e-4,-61.4681
8.05000000,2.549e-4,-60.9855
8.10000000,2.534e-4,-60.5083
8.15000000,2.519e-4,-60.0362
8.20000000,2.504e-4,-59.5692
8.25000000,2.489e-4,-59.1072
8.30000000,2.474e-4,-58.6501
8.35000000,2.459e-4,-58.1978
8.40000000,2.445e-4,-57.7502
8.45000000,2.431e-4,-57.3073
8.50000000,2.417e-4,-56.8689
8.55000000,2.403e-4,-56.4350
8.60000000,2.390e-4,-56.0055
8.65000000,2.376e-4,-55.5804
8.70000000,2.363e-4,-55.1595
8.75000000,2.350e-4,-54.7427
8.80000000,2.337e-4,-54.3301
8.85000000,2.324e-4,-53.9215
8.90000000,2.312e-4,-53.5168
8.95000000,2.299e-4,-53.1160
9.00000000,2.287e-4,-52.7191
9.05000000,2.275e-4,-52.3259
9.10000000,2.263e-4,-51.9365
9.15000000,2.251e-4,-51.5506
9.20000000,2.239e-4,-51.1684
9.25000000,2.227e-4,-50.7896
9.30000000,2.216e-4,-50.4144
9.35000000,2.204e-4,-50.0425
9.40000000,2.193e-4,-49.6740
9.45000000,2.182e-4,-49.3087
9.50000000,2.171e-4,-48.9467
9.55000000,2.160e-4,-48.5879
9.60000000,2.150e-4,-48.2323
9.65000000,2.139e-4,-47.8797
9.70000000,2.128e-4,-47.5302
9.75000000,2.118e-4,-47.1836
9.80000000,2.108e-4,-46.8400
9.85000000,2.097e-4,-46.4993
9.90000000,2.087e-4,-46.1615
9.95000000,2.077e-4,-45.8265
10.0000000,2.067e-4,-45.4942
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 200.0
2.00000000,7.392e-4,-198.960
2.05000000,7.286e-4,-194.004
2.10000000,7.153e-4,-189.280
2.15000000,7.006e-4,-184.775
2.20000000,6.850e-4,-180.471
2.25000000,6.693e-4,-176.357
2.30000000,6.536e-4,-172.419
2.35000000,6.383e-4,-168.646
2.40000000,6.235e-4,-165.029
2.45000000,6.093e-4,-161.556
2.50000000,5.959e-4,-158.221
2.55000000,5.830e-4,-155.014
2.60000000,5.709e-4,-151.929
2.65000000,5.594e-4,-148.958
2.70000000,5.485e-4,-146.095
2.75000000,5.381e-4,-143.334
2.80000000,5.283e-4,-140.670
2.85000000,5.189e-4,-138.098
2.90000000,5.099e-4,-135.612
2.95000000,5.013e-4,-133.209
3.00000000,4.930e-4,-130.884
3.05000000,4.851e-4,-128.634
3.10000000,4.774e-4,-126.454
3.15000000,4.700e-4,-124.342
3.20000000,4.629e-4,-122.294
3.25000000,4.559e-4,-120.308
3.30000000,4.492e-4,-118.380
3.35000000,4.426e-4,-116.508
3.40000000,4.362e-4,-114.690
3.45000000,4.299e-4,-112.922
3.50000000,4.239e-4,-111.204
3.55000000,4.179e-4,-109.533
3.60000000,4.121e-4,-107.906
3.65000000,4.065e-4,-106.323
3.70000000,4.009e-4,-104.780
3.75000000,3.956e-4,-103.278
3.80000000,3.903e-4,-101.814
3.85000000,3.851e-4,-100.386
3.90000000,3.801e-4,-98.9934
3.95000000,3.752e-4,-97.6348
4.00000000,3.704e-4,-96.3087
4.05000000,3.658e-4,-95.0141
4.10000000,3.612e-4,-93.7496
4.15000000,3.568e-4,-92.5144
4.20000000,3.524e-4,-91.3072
4.25000000,3.482e-4,-90.1271
4.30000000,3.441e-4,-88.9732
4.35000000,3.401e-4,-87.8446
4.40000000,3.362e-4,-86.7403
4.45000000,3.323e-4,-85.6597
4.50000000,3.286e-4,-84.6018
4.55000000,3.250e-4,-83.5659
4.60000000,3.215e-4,-82.5514
4.65000000,3.180e-4,-81.5575
4.70000000,3.146e-4,-80.5835
4.75000000,3.114e-4,-79.6289
4.80000000,3.082e-4,-78.6930
4.85000000,3.050e-4,-77.7752
4.90000000,3.020e-4,-76.8751
4.95000000,2.990e-4,-75.9920
5.00000000,2.961e-4,-75.1254
5.05000000,2.932e-4,-74.2749
5.10000000,2.905e-4,-73.4399
5.15000000,2.877e-4,-72.6201
5.20000000,2.851e-4,-71.8150
5.25000000,2.825e-4,-71.0241
5.30000000,2.799e-4,-70.2471
5.35000000,2.774e-4,-69.4835
5.40000000,2.750e-4,-68.7330
5.45000000,2.726e-4,-67.9953
5.50000000,2.702e-4,-67.2699
5.55000000,2.679e-4,-66.5566
5.60000000,2.656e-4,-65.8550
5.65000000,2.634e-4,-65.1648
5.70000000,2.612e-4,-64.4857
5.75000000,2.590e-4,-63.8174
5.80000000,2.569e-4,-63.1597
5.85000000,2.548e-4,-62.5122
5.90000000,2.528e-4,-61.8747
5.95000000,2.507e-4,-61.2470
6.00000000,2.487e-4,-60.6287
6.05000000,2.468e-4,-60.0197
6.10000000,2.448e-4,-59.4198
6.15000000,2.429e-4,-58.8286
6.20000000,2.411e-4,-58.2461
6.25000000,2.392e-4,-57.6719
6.30000000,2.374e-4,-57.1059
6.35000000,2.356e-4,-56.5480
6.40000000,2.338e-4,-55.9978
6.45000000,2.320e-4,-55.4552
6.50000000,2.303e-4,-54.9201
6.55000000,2.286e-4,-54.3922
6.60000000,2.269e-4,-53.8715
6.65000000,2.252e-4,-53.3577
6.70000000,2.236e-4,-52.8507
6.75000000,2.220e-4,-52.3503
6.80000000,2.204e-4,-51.8564
6.85000000,2.188e-4,-51.3688
6.90000000,2.172e-4,-50.8874
6.95000000,2.157e-4,-50.4121
7.00000000,2.142e-4,-49.9428
7.05000000,2.127e-4,-49.4792
7.10000000,2.112e-4,-49.0213
7.15000000,2.098e-4,-48.5690
7.20000000,2.083e-4,-48.1221
7.25000000,2.069e-4,-47.6806
7.30000000,2.055e-4,-47.2442
7.35000000,2.042e-4,-46.8130
7.40000000,2.028e-4,-46.3868
7.45000000,2.015e-4,-45.9655
7.50000000,2.002e-4,-45.5489
7.55000000,1.989e-4,-45.1371
7.60000000,1.976e-4,-44.7299
7.65000000,1.964e-4,-44.3272
7.70000000,1.951e-4,-43.9290
7.75000000,1.939e-4,-43.5350
7.80000000,1.927e-4,-43.1454
7.85000000,1.916e-4,-42.7599
7.90000000,1.904e-4,-42.3785
7.95000000,1.893e-4,-42.0011
8.00000000,1.882e-4,-41.6276
8.05000000,1.871e-4,-41.2580
8.10000000,1.860e-4,-40.8922
8.15000000,1.849e-4,-40.5301
8.20000000,1.839e-4,-40.1716
8.25000000,1.828e-4,-39.8168
8.30000000,1.818e-4,-39.4654
8.35000000,1.808e-4,-39.1175
8.40000000,1.798e-4,-38.7729
8.45000000,1.788e-4,-38.4317
8.50000000,1.779e-4,-38.0938
8.55000000,1.769e-4,-37.7590
8.60000000,1.760e-4,-37.4274
8.65000000,1.751e-4,-37.0989
8.70000000,1.742e-4,-36.7734
8.75000000,1.733e-4,-36.4508
8.80000000,1.724e-4,-36.1313
8.85000000,1.715e-4,-35.8145
8.90000000,1.706e-4,-35.5006
8.95000000,1.698e-4,-35.1895
9.00000000,1.690e-4,-34.8811
9.05000000,1.681e-4,-34.5754
9.10000000,1.673e-4,-34.2723
9.15000000,1.665e-4,-33.9718
9.20000000,1.657e-4,-33.6739
9.25000000,1.649e-4,-33.3784
9.30000000,1.641e-4,-33.0854
9.35000000,1.633e-4,-32.7948
9.40000000,1.626e-4,-32.5066
9.45000000,1.618e-4,-32.2208
9.50000000,1.611e-4,-31.9372
9.55000000,1.603e-4,-31.6559
9.60000000,1.596e-4,-31.3768
9.65000000,1.589e-4,-31.0999
9.70000000,1.582e-4,-30.8252
9.75000000,1.575e-4,-30.5525
9.80000000,1.568e-4,-30.2820
9.85000000,1.561e-4,-30.0135
9.90000000,1.554e-4,-29.7470
9.95000000,1.548e-4,-29.4824
10.0000000,1.541e-4,-29.2199
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 300.0
2.00000000,5.742e-4,-153.930
2.05000000,5.617e-4,-150.065
2.10000000,5.490e-4,-146.381
2.15000000,5.365e-4,-142.867
2.20000000,5.243e-4,-139.509
2.25000000,5.124e-4,-136.298
2.30000000,5.010e-4,-133.224
2.35000000,4.900e-4,-130.279
2.40000000,4.795e-4,-127.453
2.45000000,4.694e-4,-124.741
2.50000000,4.598e-4,-122.135
2.55000000,4.506e-4,-119.629
2.60000000,4.418e-4,-117.218
2.65000000,4.334e-4,-114.895
2.70000000,4.254e-4,-112.656
2.75000000,4.177e-4,-110.496
2.80000000,4.103e-4,-108.412
2.85000000,4.031e-4,-106.398
2.90000000,3.963e-4,-104.452
2.95000000,3.897e-4,-102.570
3.00000000,3.833e-4,-100.749
3.05000000,3.771e-4,-98.9858
3.10000000,3.712e-4,-97.2775
3.15000000,3.654e-4,-95.6216
3.20000000,3.598e-4,-94.0156
3.25000000,3.544e-4,-92.4573
3.30000000,3.491e-4,-90.9444
3.35000000,3.439e-4,-89.4750
3.40000000,3.389e-4,-88.0471
3.45000000,3.341e-4,-86.6588
3.50000000,3.293e-4,-85.3086
3.55000000,3.247e-4,-83.9948
3.60000000,3.202e-4,-82.7159
3.65000000,3.158e-4,-81.4703
3.70000000,3.116e-4,-80.2569
3.75000000,3.074e-4,-79.0743
3.80000000,3.033e-4,-77.9212
3.85000000,2.994e-4,-76.7966
3.90000000,2.955e-4,-75.6993
3.95000000,2.918e-4,-74.6283
4.00000000,2.881e-4,-73.5825
4.05000000,2.845e-4,-72.5612
4.10000000,2.810e-4,-71.5633
4.15000000,2.776e-4,-70.5880
4.20000000,2.743e-4,-69.6345
4.25000000,2.711e-4,-68.7021
4.30000000,2.679e-4,-67.7900
4.35000000,2.649e-4,-66.8974
4.40000000,2.619e-4,-66.0238
4.45000000,2.590e-4,-65.1685
4.50000000,2.561e-4,-64.3308
4.55000000,2.534e-4,-63.5103
4.60000000,2.507e-4,-62.7063
4.65000000,2.481e-4,-61.9182
4.70000000,2.455e-4,-61.1457
4.75000000,2.430e-4,-60.3881
4.80000000,2.406e-4,-59.6451
4.85000000,2.382e-4,-58.9161
4.90000000,2.359e-4,-58.2007
4.95000000,2.337e-4,-57.4986
5.00000000,2.315e-4,-56.8093
5.05000000,2.294e-4,-56.1325
5.10000000,2.273e-4,-55.4677
5.15000000,2.252e-4,-54.8146
5.20000000,2.233e-4,-54.1729
5.25000000,2.213e-4,-53.5422
5.30000000,2.195e-4,-52.9223
5.35000000,2.176e-4,-52.3128
5.40000000,2.158e-4,-51.7135
5.45000000,2.141e-4,-51.1240
5.50000000,2.123e-4,-50.5441
5.55000000,2.107e-4,-49.9735
5.60000000,2.090e-4,-49.4120
5.65000000,2.074e-4,-48.8593
5.70000000,2.058e-4,-48.3152
5.75000000,2.043e-4,-47.7795
5.80000000,2.027e-4,-47.2519
5.85000000,2.012e-4,-46.7323
5.90000000,1.998e-4,-46.2204
5.95000000,1.983e-4,-45.7160
6.00000000,1.969e-4,-45.2190
6.05000000,1.955e-4,-44.7291
6.10000000,1.941e-4,-44.2462
6.15000000,1.927e-4,-43.7702
6.20000000,1.913e-4,-43.3007
6.25000000,1.900e-4,-42.8378
6.30000000,1.887e-4,-42.3812
6.35000000,1.873e-4,-41.9307
6.40000000,1.860e-4,-41.4863
6.45000000,1.847e-4,-41.0477
6.50000000,1.834e-4,-40.6149
6.55000000,1.822e-4,-40.1877
6.60000000,1.809e-4,-39.7660
6.65000000,1.796e-4,-39.3497
6.70000000,1.783e-4,-38.9385
6.75000000,1.771e-4,-38.5325
6.80000000,1.758e-4,-38.1315
6.85000000,1.746e-4,-37.7353
6.90000000,1.733e-4,-37.3440
6.95000000,1.721e-4,-36.9573
7.00000000,1.708e-4,-36.5752
7.05000000,1.696e-4,-36.1975
7.10000000,1.684e-4,-35.8242
7.15000000,1.671e-4,-35.4552
7.20000000,1.659e-4,-35.0904
7.25000000,1.647e-4,-34.7296
7.30000000,1.634e-4,-34.3729
7.35000000,1.622e-4,-34.0201
7.40000000,1.610e-4,-33.6712
7.45000000,1.598e-4,-33.3260
7.50000000,1.586e-4,-32.9845
7.55000000,1.574e-4,-32.6466
7.60000000,1.563e-4,-32.3122
7.65000000,1.552e-4,-31.9813
7.70000000,1.541e-4,-31.6538
7.75000000,1.531e-4,-31.3296
7.80000000,1.521e-4,-31.0086
7.85000000,1.511e-4,-30.6909
7.90000000,1.502e-4,-30.3763
7.95000000,1.493e-4,-30.0647
8.00000000,1.484e-4,-29.7562
8.05000000,1.476e-4,-29.4506
8.10000000,1.468e-4,-29.1479
8.15000000,1.460e-4,-28.8480
8.20000000,1.453e-4,-28.5509
8.25000000,1.446e-4,-28.2566
8.30000000,1.440e-4,-27.9649
8.35000000,1.434e-4,-27.6758
8.40000000,1.428e-4,-27.3893
8.45000000,1.422e-4,-27.1054
8.50000000,1.416e-4,-26.8239
8.55000000,1.411e-4,-26.5448
8.60000000,1.406e-4,-26.2681
8.65000000,1.401e-4,-25.9938
8.70000000,1.396e-4,-25.7217
8.75000000,1.391e-4,-25.4520
8.80000000,1.386e-4,-25.1844
8.85000000,1.381e-4,-24.9190
8.90000000,1.376e-4,-24.6557
8.95000000,1.371e-4,-24.3946
9.00000000,1.365e-4,-24.1354
9.05000000,1.359e-4,-23.8784
9.10000000,1.353e-4,-23.6232
9.15000000,1.347e-4,-23.3701
9.20000000,1.341e-4,-23.1188
9.25000000,1.336e-4,-22.8695
9.30000000,1.330e-4,-22.6219
9.35000000,1.324e-4,-22.3762
9.40000000,1.319e-4,-22.1323
9.45000000,1.314e-4,-21.8901
9.50000000,1.309e-4,-21.6496
9.55000000,1.304e-4,-21.4109
9.60000000,1.299e-4,-21.1737
9.65000000,1.295e-4,-20.9382
9.70000000,1.290e-4,-20.7044
9.75000000,1.286e-4,-20.4720
9.80000000,1.282e-4,-20.2413
9.85000000,1.278e-4,-20.0120
9.90000000,1.274e-4,-19.7842
9.95000000,1.271e-4,-19.5579
10.0000000,1.267e-4,-19.3331
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 400.0
2.00000000,4.689e-4,-125.110
2.05000000,4.571e-4,-121.942
2.10000000,4.459e-4,-118.921
2.15000000,4.355e-4,-116.039
2.20000000,4.257e-4,-113.284
2.25000000,4.164e-4,-110.650
2.30000000,4.077e-4,-108.127
2.35000000,3.993e-4,-105.709
2.40000000,3.914e-4,-103.390
2.45000000,3.838e-4,-101.162
2.50000000,3.765e-4,-99.0216
2.55000000,3.695e-4,-96.9625
2.60000000,3.626e-4,-94.9802
2.65000000,3.560e-4,-93.0705
2.70000000,3.495e-4,-91.2292
2.75000000,3.432e-4,-89.4526
2.80000000,3.370e-4,-87.7374
2.85000000,3.310e-4,-86.0802
2.90000000,3.250e-4,-84.4780
2.95000000,3.192e-4,-82.9280
3.00000000,3.134e-4,-81.4277
3.05000000,3.078e-4,-79.9746
3.10000000,3.022e-4,-78.5664
3.15000000,2.968e-4,-77.2009
3.20000000,2.915e-4,-75.8761
3.25000000,2.863e-4,-74.5903
3.30000000,2.812e-4,-73.3415
3.35000000,2.763e-4,-72.1281
3.40000000,2.714e-4,-70.9486
3.45000000,2.667e-4,-69.8015
3.50000000,2.622e-4,-68.6854
3.55000000,2.578e-4,-67.5990
3.60000000,2.535e-4,-66.5410
3.65000000,2.494e-4,-65.5103
3.70000000,2.454e-4,-64.5058
3.75000000,2.416e-4,-63.5264
3.80000000,2.379e-4,-62.5711
3.85000000,2.345e-4,-61.6390
3.90000000,2.312e-4,-60.7291
3.95000000,2.280e-4,-59.8407
4.00000000,2.250e-4,-58.9730
4.05000000,2.222e-4,-58.1251
4.10000000,2.196e-4,-57.2963
4.15000000,2.171e-4,-56.4859
4.20000000,2.148e-4,-55.6934
4.25000000,2.126e-4,-54.9179
4.30000000,2.106e-4,-54.1590
4.35000000,2.088e-4,-53.4161
4.40000000,2.071e-4,-52.6886
4.45000000,2.056e-4,-51.9761
4.50000000,2.042e-4,-51.2779
4.55000000,2.029e-4,-50.5936
4.60000000,2.018e-4,-49.9228
4.65000000,2.008e-4,-49.2650
4.70000000,1.998e-4,-48.6199
4.75000000,1.990e-4,-47.9869
4.80000000,1.983e-4,-47.3658
4.85000000,1.977e-4,-46.7561
4.90000000,1.972e-4,-46.1575
4.95000000,1.967e-4,-45.5697
5.00000000,1.963e-4,-44.9923
5.05000000,1.960e-4,-44.4250
5.10000000,1.957e-4,-43.8676
5.15000000,1.955e-4,-43.3197
5.20000000,1.952e-4,-42.7810
5.25000000,1.950e-4,-42.2513
5.30000000,1.948e-4,-41.7304
5.35000000,1.946e-4,-41.2179
5.40000000,1.944e-4,-40.7137
5.45000000,1.942e-4,-40.2175
5.50000000,1.939e-4,-39.7291
5.55000000,1.936e-4,-39.2482
5.60000000,1.933e-4,-38.7747
5.65000000,1.929e-4,-38.3084
5.70000000,1.925e-4,-37.8491
5.75000000,1.920e-4,-37.3966
5.80000000,1.914e-4,-36.9507
5.85000000,1.907e-4,-36.5112
5.90000000,1.900e-4,-36.0780
5.95000000,1.892e-4,-35.6509
6.00000000,1.883e-4,-35.2297
6.05000000,1.873e-4,-34.8144
6.10000000,1.862e-4,-34.4047
6.15000000,1.849e-4,-34.0006
6.20000000,1.836e-4,-33.6018
6.25000000,1.822e-4,-33.2083
6.30000000,1.806e-4,-32.8198
6.35000000,1.790e-4,-32.4364
6.40000000,1.772e-4,-32.0579
6.45000000,1.754e-4,-31.6841
6.50000000,1.734e-4,-31.3150
6.55000000,1.713e-4,-30.9504
6.60000000,1.691e-4,-30.5902
